Bucket,Color/Number,Old/New,Species,Date_initial_measure,Length_pre,Width_pre,Height_pre,Weight,Mortality_Date,Date_FinalMeasurement,Length_post,Width_post,Height_post,Weight_post ,live_barnacles,dead_barnacles,polydora_scars,RFTM_Date,RFTM_score,Parasites,
LM5,O5,NEW,CV,6/19/2018,45.41,24.48,13.75,5.2,,10/17/2018,40.65,25.61,10.4,8.98,0,0,0,29-Oct,0,,
HP3,G5,NEW,CV,6/20/2018,46.83,25.57,14.94,7.66,,,36.98,30.05,9.51,8.97,0,0,0,,,,
HM9,Y51,NEW,CV,6/19/2018,45.14,29.44,16.76,6.99,,,45.93,28.03,9.41,8.96,0,0,0,,,,
HP9,W72,NA,IR,6/21/2018,43.01,24.35,16.1,7.88,,10/19/2018,12.45,20.41,16.07,8.95,1,0,0,30-Oct,0,,
HP2,W17,NA,IR,6/21/2018,43.66,24.13,16.22,7.93,,,45.09,23.94,16.75,8.94,0,0,0,25-Oct,0,,
HP3,W52,NA,IR,6/21/2018,43.74,23.81,16.16,7.75,,,42.98,22.72,16.54,8.94,0,0,0,,,,
LP4,Y77,NA,IR,6/21/2018,36.69,24.45,15.51,6.93,,,39.89,24.56,14.94,8.93,0,0,0,25-Oct,0,,
LP3,O63,NEW,CV,6/19/2018,37.62,23.15,12.13,3.91,,,40.13,27.85,10.57,8.92,0,0,0,25-Oct,0,,
HP9,G4,OLD,CV,6/13/2018,38.23,23.23,10.28,4.77,,10/19/2018,37.8,28.95,9.15,8.91,0,0,0,30-Oct,0,,
LM7,W64,OLD,CV,6/19/2018,31.56,22.62,10.5,3.09,,10/19/2018,38.63,26.8,10.95,8.9,0,0,0,1-Nov,0,,
HP3,W72,OLD,CV,6/19/2018,34.58,23.63,11.67,4.01,,,41.2,26.58,10.77,8.89,1,0,0,27-Oct,0,,
LP1,Y43,OLD,CV,6/13/2018,29.53,22.37,5.112,2.31,,15-Oct,41.3,25.29,10.13,8.89,,,,23-Oct,0.5,,
HP7,G35,OLD,CV,6/13/2018,38.72,26.77,7.7,5.55,10/18/2018,10/18/2018,42.46,27.5,10.79,8.88,0,0,0,30-Oct,0,nps,sperm
LP2,12,Data sht 5,IR,,,,,,,,43.91,20.56,16.74,8.88,,,,27-Oct,0,,
HP8,O80,OLD,CV,6/12/2018,45.46,27.75,8.84,4.64,10/18/2018,10/18/2018,36.59,24.36,11.7,8.87,0,0,1,29-Oct,0,nps,
LM1,G89,NEW,CV,6/20/2018,44.41,29.71,13.91,5.67,,10/15/2018,38.13,26.8,9.53,8.86,0,0,0,,,,
LP2,Y55,OLD,CV,6/13/2018,41.3,26.32,9.92,8.27,,,36.45,26.3,10.21,8.86,,,,25-Oct,0,,
LP5,13,NA,IR,,,,,,,,38.4,22.99,14.47,8.86,0,0,0,,,,
LM7,W59,OLD,CV,6/19/2018,29.98,23.63,11.38,3.49,,10/19/2018,36.84,30.38,11.02,8.85,0,0,0,1-Nov,0,,
LP2,14,Data sht 5,IR,,,,,,,,42.98,20.81,16.14,8.85,,,,27-Oct,0,,
LP6,G27,OLD,CV,6/13/2018,39.72,29.4,9.9,7.2,,,35,29.93,10.14,8.85,0,0,0,30-Oct,0,,
LM8,Y80,NEW,CV,6/19/2018,29.3,21.11,11.62,2.65,,10/17/2018,37.39,28.25,11.19,8.84,0,0,0,27-Oct,0,,
HM6,O61,NEW,CV,6/19/2018,31.04,20.86,10.1,2.56,,,42.98,29.54,9.9,8.83,0,0,1,,,,
LP1,W38,NA,IR,6/21/2018,40.66,23.3,16.65,7.9,,15-Oct,43.3,24.4,15.1,8.83,,,,23-Oct,0,,
HP6,Y63,NA,IR,6/21/2018,43.96,20.82,17.04,6.7,,,43.85,20.39,16.3,8.81,0,0,0,29-Oct,0,,
HM7,O40,NEW,CV,6/19/2018,51.1,32.7,14.87,8.84,,,40.17,28.46,11.71,8.79,0,0,0,30-Oct,0,,
LM4,13,,CV,,,,,,,10/17/2018,35.33,27.91,10.73,8.79,0,0,1,,,,
LM8,Y63,NEW,CV,6/19/2018,37.07,25.01,12.57,4.6,,10/17/2018,36.17,25.79,10.77,8.78,0,0,0,27-Oct,0,,
LP5,G15,OLD,CV,6/13/2018,34.27,25.92,8.17,3.64,,,42.03,25.44,8.83,8.78,0,0,0,27-Oct,0,,
LM9,G9,NEW,CV,6/20/2018,40.29,23.37,11.88,5.68,,,40.67,29.57,9.96,8.77,0,0,0,1-Nov,0,,
HP3,W4,NA,IR,6/21/2018,42.48,24.21,16.07,6.96,,,41.06,21.32,15.21,8.75,0,0,0,27-Oct,0,,
HP4,W7,NA,IR,6/21/2018,37.33,24.58,14.73,5.96,,,39.92,23.87,16.27,8.75,0,0,1,29-Oct,0,,
HP3,O85,NEW,CV,6/19/2018,29.93,22.35,10.01,2.83,,,35.85,25.08,10.68,8.73,0,0,0,,,,
LM6,Y17,NEW,CV,6/19/2018,27.52,23.19,10.17,1.85,,10/18/2018,40.24,28.11,10.5,8.72,0,0,0,29-Oct,0,,
LM9,O59,NEW,CV,6/19/2018,34.49,23.6,9.9,4.27,,,39.5,27.23,12.97,8.71,0,0,0,1-Nov,0,,
LP4,O53,OLD,CV,6/12/2018,41.45,25.73,9.48,7.05,,,40.69,22.39,10.4,8.71,0,0,0,25-Oct,0,,
LM8,W41,OLD,CV,6/19/2018,28.52,27.64,13.02,4.48,,10/17/2018,32.34,30.38,10.64,8.7,0,0,0,27-Oct,0,,
HP2,Y32,NEW,CV,6/19/2018,25.59,21.98,11.74,2.26,,,36.74,25.99,11.22,8.69,0,0,1,25-Oct,0,,
LM1,Y86,NEW,CV,6/19/2018,42.85,24.63,12.45,4.8,,10/15/2018,37.74,27.06,11.11,8.69,0,0,0,20-Oct,0,,
LP6,G11,OLD,CV,6/13/2018,36.66,22.8,9.04,4.47,,,34.74,29.9,12.02,8.69,0,0,0,30-Oct,0,,
LP1,Y74,OLD,CV,6/13/2018,32.09,25.6,8.51,3.72,,15-Oct,33.52,29.94,12.11,8.67,,,,,,,
LP1,Y74,NEW,CV,6/19/2018,29.58,27.58,10.28,3.53,,15-Oct,33.52,29.94,12.11,8.67,,,,23-Oct,0,,
HP7,G38,OLD,CV,6/13/2018,36.91,22.44,6.84,4.01,10/18/2018,10/18/2018,40.43,28.83,9.79,8.64,0,0,0,30-Oct,0,nps,
LP8,G72,OLD,CV,6/13/2018,54.44,26.5,10.28,9.97,,,36.67,26.42,11.52,8.62,0,0,0,29-Oct,0,,
LP9,11,,IR,,,,,,,,42.43,25.91,15.65,8.62,0,0,0,,,,
HP5,Y86,NA,IR,6/21/2018,35.23,25.51,13.06,5.25,,,39.42,23.65,15.43,8.57,1,0,0,29-Oct,0,,
LM6,Y80,NEW,CV,6/19/2018,26,19.13,11.5,2.14,,10/18/2018,35.49,30.67,10.32,8.56,0,0,0,,,,
HP9,14,NA,IR,,,,,,,10/19/2018,39.8,21.65,16.09,8.55,0,0,1,,,,
LP9,B46,NEW,CV,6/20/2018,38.42,21.44,11.41,3.42,,,45,29.25,9.69,8.55,0,0,0,31-Oct,0,,
HM1,W15,OLD,CV,6/19/2018,40.32,23.04,11.2,4.25,,10/15/2018,42.75,28.85,9.35,8.54,0,0,0,23-Oct,0,,
LP6,Y3,OLD,CV,6/12/2018,36.31,24.4,7.73,3.67,,,28.06,17.82,12.78,8.53,0,0,0,30-Oct,0,,
LM1,Y12,NEW,CV,6/19/2018,25.23,18.35,10.7,2.02,,10/15/2018,41.33,27.38,10.61,8.48,0,0,0,22-Oct,0,,
LM8,W35,OLD,CV,6/19/2018,33.62,27.79,8.97,4.21,,10/17/2018,34.48,26.87,11.75,8.46,1,0,2,,,,
LP8,G12,,CV,,,,,,,,40.26,26.36,8.62,8.46,0,0,0,29-Oct,0,,
HM2,W65,OLD,CV,6/19/2018,33.9,25.07,13.93,4.44,,10/16/2018,40.69,28.13,10.47,8.45,0,0,1,27-Oct,0,,
HP5,G62,OLD,CV,6/13/2018,35.7,24.03,6.95,3.05,,,42.18,32.11,9.45,8.41,0,0,0,29-Oct,0,,
LM5,G15,NEW,CV,6/20/2018,40.41,25.81,10.25,4.07,,10/17/2018,39.12,28.12,9.29,8.41,0,0,0,29-Oct,0.5,,
LM8,Y87,NEW,CV,6/19/2018,36.59,23.56,11.27,5.46,,10/17/2018,27.31,27.39,9.71,8.41,0,0,0,27-Oct,0,,
LM3,Y13,NEW,CV,6/19/2018,31.49,29.22,12.53,5,,10/18/2018,36.82,24.18,11.5,8.37,0,0,2,27-Oct,0,,
LP3,O56,OLD,CV,6/12/2018,52.46,28.23,12.25,11.26,,,41.91,24.47,9.87,8.36,0,0,0,25-Oct,0,,
LP4,O33,,CV,,,,,,,,38.1,27.87,9.65,8.36,0,0,2,25-Oct,0,,
HP7,G76,OLD,CV,6/13/2018,35.34,26.12,6.81,4.29,10/18/2018,10/18/2018,40.2,26.23,9.84,8.35,0,0,0,30-Oct,0,nps,
LM3,O16,NEW,CV,6/19/2018,30.4,26.54,14.13,4.29,,10/18/2018,39.19,30.67,11,8.34,0,0,0,27-Oct,0,,
HP7,W99,NA,IR,6/21/2018,37.35,21.53,14.31,4.77,10/18/2018,10/18/2018,41.52,22.79,16.19,8.33,0,0,0,30-Oct,0,eggs/nps 3,
HM5,W54,OLD,CV,6/19/2018,33.64,24.63,12.11,3.96,,,37.33,28.38,9.38,8.32,0,0,1,30-Oct,0,,
LM8,15,,CV,,,,,,,,40.46,23.09,9.75,8.32,0,0,0,,,,
HP2,W73,NA,IR,6/21/2018,43.66,22.73,15.26,6.23,,,44.73,22.94,15.32,8.3,0,0,0,25-Oct,0,,
LP8,O21,,CV,,,,,,,,30.35,22.75,10.68,8.29,0,0,1,29-Oct,0,,
HP1,G85,NEW,CV,6/20/2018,37.26,25.74,12.61,4.72,,,37.35,24.47,13.44,8.26,1,0,0,25-Oct,0,,
LM4,14,,CV,,,,,,,10/17/2018,35.37,27.03,10.41,8.25,0,0,0,,,,
LP5,Y26,OLD,CV,6/13/2018,33.49,30.9,8.19,4.28,,,36.61,24.77,9.65,8.23,0,0,0,27-Oct,0,,
LM3,Y45,NEW,CV,6/19/2018,25.96,18.24,10.74,0.9,,10/18/2018,37.24,26.6,12.98,8.2,0,0,0,,,,
HM4,G63,NEW,CV,6/20/2018,40.99,28.13,10.69,7.5,,,40.07,27.79,11.93,8.19,0,0,0,25-Oct,0,,
HP9,Y57,OLD,CV,6/13/2018,42.37,30.7,10.59,8.9,,10/19/2018,38.8,29.93,10.22,8.18,0,0,0,30-Oct,0,,
LP1,10,Data Sheet 3,IR,,,,,,,,43.05,22.49,16.86,8.16,,,,23-Oct,0,,
LP4,W93,,IR,,,,,,,,43.63,21.72,15.32,8.16,0,0,0,25-Oct,0,,
HP1,W63,OLD,CV,6/19/2018,33.22,28.09,11.77,4.46,,,34.52,28.75,10.79,8.14,0,0,0,25-Oct,0,,
HP4,G22,OLD,CV,6/13/2018,38.63,28.64,9.37,5.33,,,41.91,24.27,8.45,8.14,0,0,0,27-Oct,0,,
LM4,81G,,CV,,,,,,,10/17/2018,36.46,26.52,11.42,8.13,0,0,0,29-Oct,0,,
LP6,G1,,CV,,,,,,,,38.15,26.44,11.21,8.09,0,0,0,30-Oct,0,,
LP1,O85,OLD,CV,6/12/2018,30.59,24.19,8.05,3.91,,15-Oct,35.85,28.98,12.14,8.08,,,,23-Oct,0,,
LP1,W79,NA,IR,6/21/2018,39.96,23.66,15.42,6.97,,,40.31,21.88,15,8.06,,,,23-Oct,0,,
HP7,G59,OLD,CV,6/13/2018,47.5,39.55,12.11,11.19,10/18/2018,10/18/2018,35,28.84,10.65,8.05,0,0,0,30-Oct,0,nps,eggs
LM9,Y39,OLD,CV,6/13/2018,31.83,20.05,7.89,2.789,,,40.53,26.62,10.16,8.04,0,0,0,1-Nov,0,,
LM9,Y39,NEW,CV,6/19/2018,23.86,21.51,12.12,1.89,,,40.53,26.62,10.16,8.04,0,0,0,,,,
LM6,Y24,NEW,CV,6/19/2018,30.87,22.13,12.83,2.8,,10/18/2018,38.45,26.84,9.71,7.99,0,0,2,29-Oct,0,,
LP6,15,,IR,,,,,,,,40.73,22.81,15.86,7.99,0,0,0,30-Oct,0,,
HP7,G81,OLD,CV,6/13/2018,33.25,23.29,9.57,3.78,10/18/2018,10/18/2018,36.42,25.6,11.44,7.94,,,,,,,
LM2,O7,NEW,CV,6/19/2018,28.71,19.92,7.18,2.52,,10/16/2018,37.15,24.61,9.22,7.91,0,0,1,27-Oct,0,,
LP1,Y83,OLD,CV,6/13/2018,34.35,22.8,8.11,9.83,,15-Oct,38.66,25.73,8.75,7.89,,,,23-Oct,0,,
LP7,O11,OLD,CV,6/12/2018,50.8,27.4,11.26,8.12,,,35.79,28.25,11.36,7.85,0,0,0,30-Oct,0,,
HP8,Y27,OLD,CV,6/13/2018,32.3,29.25,10.14,5.39,10/18/2018,10/18/2018,34.61,30.34,11.14,7.83,0,0,0,29-Oct,0,,
LP6,Y53,NA,IR,6/21/2018,35.26,21.42,15.13,4.49,,,40.49,24,16.97,7.83,0,0,0,30-Oct,0,,
HP3,W61,OLD,CV,6/19/2018,39.72,20.63,11.87,3.08,,,41.16,22.72,8.18,7.82,0,0,0,27-Oct,0,,
HM9,5,,CV,,,,,,,,41.56,25.47,8.82,7.8,0,0,0,,,,
HP7,G73,OLD,CV,6/13/2018,50.39,34.94,11.3,11.45,10/18/2018,10/18/2018,36.21,25.73,9.85,7.79,0,0,0,30-Oct,0,nps,
HP8,15,,IR,,,,,,,10/18/2018,40.74,19.82,17.24,7.79,0,0,0,29-Oct,0,,
HP1,Y50,NEW,CV,6/19/2018,25.5,27.82,12.71,3.86,,,37.6,29.81,10.93,7.78,0,0,0,25-Oct,0,,
HP4,G53,OLD,CV,6/13/2018,29.45,21.29,7.21,3.09,,,35.15,25.04,11.05,7.78,0,0,0,29-Oct,0,,
LP7,G34,OLD,CV,6/13/2018,38.73,23.77,8.7,5.22,,,39.09,24.82,12.7,7.77,0,0,0,30-Oct,0,,
LP8,G29,OLD,CV,6/13/2018,41.09,28.29,8.92,6.48,,,31.81,24.74,11.07,7.72,0,0,0,29-Oct,0,,
LM3,Y30,NEW,CV,6/19/2018,48.67,25.3,12.28,5.91,,10/18/2018,36.65,23.47,8.88,7.69,0,0,0,27-Oct,0,,
LP1,O62,OLD,CV,6/12/2018,37.87,23.03,9.27,4.58,,15-Oct,35.05,26.31,11.43,7.69,,,,23-Oct,0,,
LP3,13,,IR,,,,,,,,37.14,21.75,15.85,7.69,0,0,0,,,,
LP8,14,,IR,,,,,,,,41.31,18.34,16.97,7.66,0,0,1,,,,
LM7,Y29,OLD,CV,6/13/2018,34.82,21.13,7.41,3.02,,10/19/2018,37.34,24.89,9.9,7.62,0,0,0,,,,
LM7,Y29,NEW,CV,6/19/2018,33.71,22.41,15.12,4.09,,10/19/2018,37.34,24.89,9.9,7.62,0,0,0,1-Nov,0,,
LP6,14,,IR,,,,,,,,34.77,22.86,15.83,7.62,0,0,0,30-Oct,0,,
HP8,W34,NA,IR,6/21/2018,40.72,23.33,14.07,5.68,10/18/2018,10/18/2018,41.04,22.58,1451,7.61,0,0,0,29-Oct,0,,
LP7,Y58,OLD,CV,6/13/2018,32.43,20.5,7.95,3.25,,,34.61,28.24,13.71,7.6,0,0,0,30-Oct,0,,
HM4,G78,NEW,CV,6/20/2018,29.12,25.87,10.29,4.06,,,35,26.24,11.48,7.58,0,0,0,25-Oct,0,,
HP1,W62,OLD,CV,6/19/2018,32.81,24.65,11.01,3.55,,,35.94,29.79,11.4,7.58,0,0,5,25-Oct,0.5,,
HM5,B73,,CV,,,,,,,,35.68,24.08,10.27,7.57,0,0,1,,,,
LM3,Y23,NEW,CV,6/19/2018,29.86,23.91,12.91,3.28,,10/18/2018,36.51,26.38,9.7,7.57,0,0,1,27-Oct,0,,
LP7,G31,OLD,CV,6/13/2018,47.32,31.28,8.95,7.57,,,37.44,27.52,12.5,7.55,0,0,0,30-Oct,0,,
HM9,O71,NEW,CV,6/19/2018,39.04,22.05,12.51,3.58,,,36.83,22.46,10.61,7.52,0,0,0,31-Oct,0,,
LM8,G47,NEW,CV,6/20/2018,42.39,24.39,13.13,5.87,,10/17/2018,35.67,26.54,9.62,7.52,0,0,0,27-Oct,0,,
LP6,13,,IR,,,,,,,,39.1,21.88,15.4,7.52,0,0,0,30-Oct,0,,
HM9,G94,NEW,CV,6/20/2018,31.56,25.79,8.89,3.9,,,39.77,37.6,10.09,7.49,0,0,0,31-Oct,0,,
HP1,Y33,NA,IR,6/21/2018,38.27,21.24,14.54,5.08,,,41.2,22,15.28,7.49,,,,22-Oct,0,,
HP4,G78,OLD,CV,6/13/2018,31.58,22.48,8.58,3.06,,,28.73,25.68,11.99,7.48,0,0,0,,,,
LM7,O18,NEW,CV,6/19/2018,25.74,18.94,10.2,1.8,,10/19/2018,37.82,26.04,9.8,7.48,0,0,0,,,,
LP5,Y92,OLD,CV,6/13/2018,35.79,21.41,7.31,3.3,,,35.44,23.4,9.05,7.48,0,0,0,27-Oct,0,,
HM8,G14,NEW,CV,6/20/2018,41.03,30.34,14.81,6.66,,,35.73,25.25,10.23,7.46,0,0,0,1-Nov,0,,
LP8,O14,OLD,CV,6/12/2018,42,25.98,9.69,5.54,,,34.49,25.1,10.84,7.46,0,0,2,29-Oct,0,,
HP7,G65,OLD,CV,6/13/2018,51.04,28.38,12.72,10.61,10/18/2018,10/18/2018,33.21,26.11,10.75,7.42,0,0,0,30-Oct,0,nps,
LP7,Y8,,CV,,,,,,,,39.33,28.9,10.79,7.41,0,0,0,30-Oct,0.5,,
HP3,11,,IR,,,,,,,,36.42,21.13,15.25,7.4,0,0,0,27-Oct,0,,
HM2,W25,OLD,CV,6/19/2018,39.22,22.82,13.05,4.34,,10/16/2018,35.8,22.46,7.98,7.38,0,0,0,27-Oct,0,,
LM1,Y95,NEW,CV,6/19/2018,30.78,24.13,12.04,2.77,,10/15/2018,38.59,24.84,9.84,7.38,0,0,0,22-Oct,0,,
LM5,Y25,NEW,CV,6/19/2018,39.05,28.22,17,4.61,,10/17/2018,36.18,25.65,10.57,7.38,0,0,0,29-Oct,0,,
LP7,9,,IR,,,,,,,,38.97,22.63,15.83,7.38,0,0,0,30-Oct,0,,
LP3,Y68,OLD,CV,6/13/2018,50.62,30.66,11.15,11.18,,,36.22,26.16,8.87,7.33,0,0,1,,,,
LM5,Y34,NEW,CV,6/19/2018,24.01,20.04,9.67,1.08,,10/17/2018,34.32,23.47,10.09,7.29,0,0,0,29-Oct,0,,
HM4,G8,NEW,CV,6/20/2018,48.29,21.42,12.7,5.47,,,34.34,26.84,9.48,7.27,0,0,0,25-Oct,0,,
HP3,Y15,NEW,CV,6/19/2018,25.47,21.98,13.4,2.39,,,37.88,24.52,9.53,7.25,0,0,0,27-Oct,0,,
HP8,W32,NA,IR,6/21/2018,39.4,21.34,15.21,5.76,10/18/2018,10/18/2018,40.53,21.28,15.57,7.25,0,0,0,29-Oct,0,,
HP2,G40,NEW,CV,6/20/2018,46.57,33.25,12.64,10.14,,,35.84,27.53,9.61,7.23,0,0,0,25-Oct,0,,
HP7,14,,IR,,,,,,10/18/2018,10/18/2018,40.96,20.37,15.57,7.23,0,0,0,30-Oct,0,sperm/nps,
HP8,O18,NA,IR,6/21/2018,37.34,26.13,13.51,5.61,10/18/2018,10/18/2018,39.87,23.34,13.98,7.23,0,0,0,29-Oct,0,,
HP2,W60,NA,IR,6/21/2018,35.36,21.37,14.96,5.34,,,38.37,21.05,15.88,7.22,0,0,0,25-Oct,0,,
LP3,Y18,NA,IR,6/21/2018,32.97,21.02,12.81,4.26,,,37.8,21.04,14.18,7.22,0,0,0,25-Oct,0,,
LP5,15,NA,IR,,,,,,,,36.84,21.58,15.11,7.18,0,0,0,,,,
HM2,W67,OLD,CV,6/19/2018,35.46,22.78,11.75,3.33,,10/16/2018,36.56,26.33,9.77,7.16,0,0,0,27-Oct,0,,
HM4,O6,NEW,CV,6/19/2018,34.07,27.87,14.03,4.19,,,35.19,26.68,9.09,7.14,0,0,0,25-Oct,0,,
LP1,Y31,OLD,CV,6/13/2018,30.43,19.43,7.8,2.58,,15-Oct,34.25,30.84,10.14,7.13,,,,,,,
LP1,Y31,NEW,CV,6/19/2018,28.59,24.31,12.66,2.78,,15-Oct,34.25,30.84,10.14,7.13,,,,23-Oct,0,,
HP2,Y35,NEW,CV,6/19/2018,25.17,19.69,10.08,2.02,,,40.33,24.34,9.63,7.12,0,0,1,,,,
LP1,O61,OLD,CV,6/12/2018,39.82,24.1,6.91,4.27,,15-Oct,37.3,26.82,10.05,7.1,,,,23-Oct,0,,
LP1,Y12,NA,IR,6/21/2018,35.78,21.62,12.81,4.18,29-Jun,15-Oct,40.4,21.6,13.7,7.1,,,,23-Oct,0,,
LP2,Y85,NA,IR,6/21/2018,33.02,21.94,12.55,4.05,,,38.97,21.17,15.02,7.1,,,,27-Oct,0,,
HP7,G10,OLD,CV,6/13/2018,34.39,21.33,7.27,2.71,10/18/2018,10/18/2018,34.42,26.33,9.44,7.09,0,0,0,,,,
HP1,Y55,NA,IR,6/21/2018,38.21,23.34,14.33,5.17,,,40.42,21.62,15.48,7.08,,,,22-Oct,0,,
HP4,W3,NA,IR,6/21/2018,39.23,24.64,14.23,5.89,,,39.09,21.6,14.38,7.07,0,0,0,29-Oct,0,,
HP8,Y4,OLD,CV,6/12/2018,33.68,22.47,8.32,3.34,10/18/2018,10/18/2018,35.82,26.61,8.68,7.06,0,0,0,29-Oct,0,,
LM7,W12,OLD,CV,6/19/2018,38.09,21.88,10.01,3.45,,10/19/2018,38.32,25.66,9.15,7.06,0,1,1,1-Nov,0,,
LM3,O21,NEW,CV,6/19/2018,30.65,20.53,9.93,3.08,,10/18/2018,33.83,25.25,8.59,7.05,0,0,1,27-Oct,0,,
LP5,W41,NA,IR,6/21/2018,40.78,21.61,13.16,5.52,,,40.41,20.9,14.27,7.03,0,0,0,27-Oct,0,,
LP5,W75,NA,IR,6/21/2018,37.16,22.75,14.03,5.1,,,38.32,20.94,14.62,6.98,0,0,0,27-Oct,0,,
HP9,W21,NA,IR,6/21/2018,36.55,23.86,13.88,5.29,,10/19/2018,38.03,20.33,14.02,6.97,0,0,0,,,,
HP2,W29,OLD,CV,6/19/2018,33.82,24.44,12.85,4.25,,,34.29,24.99,9.64,6.95,0,0,0,25-Oct,0,,
HP5,G96,OLD,CV,6/13/2018,30.27,20.18,5.35,2.13,,,33.5,26.11,18.64,6.95,0,0,0,29-Oct,0,,
HM5,Y4,NEW,CV,6/19/2018,32.06,21.8,9.15,2.78,,,36.92,25.6,10.76,6.89,0,0,0,30-Oct,0,,
HM4,O4,NEW,CV,6/19/2018,40.1,24.07,11.17,6.36,,,40.68,22.28,8.54,6.87,0,0,0,,,,
,12,,IR,,,,,,,,39.18,19.07,13.89,6.85,0,0,0,,,,
LP6,Y14,OLD,CV,6/13/2018,35.24,24,7.88,3.85,,,33.18,26.04,9.47,6.85,0,0,0,30-Oct,0,,
LP3,O12,NA,IR,6/21/2018,33.46,22.17,13.44,4.49,,,38.21,19.8,15.37,6.82,0,0,0,,,,
LP4,Y35,NA,IR,6/21/2018,31.7,18.22,11.6,3.11,,,36.96,20.06,14.08,6.82,1,0,0,25-Oct,0,,
HP9,O71,OLD,CV,6/12/2018,32.92,23.41,8.73,4.34,,10/19/2018,37.48,22.13,7.62,6.81,0,0,0,30-Oct,0,,
HP1,11,,IR,,,,,,,,35.3,20.24,14.83,6.74,0,0,0,22-Oct,0,,
HP9,W94,NA,IR,6/21/2018,36.57,20.48,13.29,3.92,,10/19/2018,38.77,19.32,14.28,6.72,0,0,0,30-Oct,0,,
LP8,Y59,NA,IR,6/21/2018,27.74,18.27,12.03,3.02,,,36.04,20.14,14.9,6.71,0,0,0,,,,
LP9,Y19,NA,IR,6/21/2018,32.17,19.88,13.01,3.64,,,38.29,21.98,15.07,6.68,0,0,0,31-Oct,0,,
HM5,Y88,NEW,CV,6/19/2018,54.07,30.93,17.2,9.9,,,39.62,25.11,9.4,6.67,0,0,0,30-Oct,0,,
HP9,W57,NA,IR,6/21/2018,39.72,21.21,15.42,6.11,,10/19/2018,38.98,19.74,15.47,6.66,0,0,1,30-Oct,0,,
HP3,14,,IR,,,,,,,,39.09,19.54,14.85,6.64,0,0,0,27-Oct,0,,
LM9,W23,OLD,CV,6/19/2018,33.46,22.31,10.46,2.9,,,34.5,24.26,8.61,6.55,0,0,0,1-Nov,0,,
LP7,O9,NA,IR,6/21/2018,33.99,26.52,13.7,3.68,,,36.02,22.7,15.04,6.55,0,0,0,30-Oct,0,,
HP2,W35,NA,IR,6/21/2018,34.25,20.43,14.4,4.43,,,36.14,19.54,15.91,6.51,0,0,0,,,,
HP6,Y29,NA,IR,6/21/2018,35.05,20.8,14.42,4.76,,,36.08,20.23,15.03,6.5,0,0,0,29-Oct,0,,
HP3,W23,NA,IR,6/21/2018,36.26,21.04,13.3,4.93,,,36.9,19.68,13.74,6.48,0,0,0,,,,
LP9,9,,IR,,,,,,,,37.07,19.54,15.27,6.47,1,0,0,,,,
HP2,W70,NA,IR,6/21/2018,35.24,21.16,13.23,4.28,,,38.79,20.71,14.67,6.46,0,0,0,25-Oct,0,,
HM7,O86,NEW,CV,6/19/2018,29.56,20.91,10.61,2.33,,,33.44,28.56,8,6.43,0,0,0,,,,
LP5,12,NA,IR,,,,,,,,35.87,19.45,15.72,6.41,0,0,0,,,,
LP5,O7,NA,IR,6/21/2018,39.33,22.17,14.82,4.46,,,39.14,19.2,14.98,6.4,0,0,2,27-Oct,0,,
LP7,Y16,NA,IR,6/21/2018,35.81,18.98,14.55,4.07,,,40.09,20.99,16.9,6.36,0,0,0,30-Oct,0,,
LP9,Y34,NA,IR,6/21/2018,32.87,21.37,12.36,3.75,,,36.42,24.08,14.07,6.33,0,0,0,31-Oct,0,,
HP3,W45,OLD,CV,6/19/2018,34.78,19.84,9.3,3.22,,,34.99,22.44,10.33,6.31,0,0,0,27-Oct,1,,
LM1,14,,CV,,,,,,,10/15/2018,35.85,26.6,9.05,6.3,0,0,0,22-Oct,0,,
LP4,Y26,,IR,,,,,,,,34.29,19.72,14.68,6.3,0,0,0,25-Oct,0,,
HP1,G62,NEW,CV,6/20/2018,37.62,22.04,10.54,2.95,,,36.57,24.02,8.03,6.29,0,0,0,22-Oct,0,,
LP1,Y66,NA,IR,6/21/2018,34.94,21.06,13.38,4.09,,15-Oct,36.62,20.78,13.71,6.25,,,,23-Oct,0,,
HM4,W17,OLD,CV,6/19/2018,36.84,26.82,12.51,3.14,,,35.94,23.67,7.96,6.22,0,0,0,25-Oct,0,,
HP4,G48,OLD,CV,6/13/2018,33.11,25.15,6.91,4.12,,,38.44,23.85,8.7,6.19,0,0,1,27-Oct,0,,
LP2,10,Data sht 5,IR,,,,,,,,35.1,20.09,13.31,6.14,,,,27-Oct,0,,
LP9,7,,IR,,,,,,,,34.99,23.74,14.76,6.11,,,,,,,
HP1,14,,IR,,,,,,,,36.29,19.88,16.01,6.08,0,0,0,22-Oct,0,,
LP1,9,Data Sheet 2,IR,,,,,,,,36.47,21.69,14.6,6.08,,,,,,,
LP1,Y30,NA,IR,6/21/2018,35.2,18.96,14.3,4.33,,15-Oct,37.81,18.64,16.07,6.05,,,,,,,
LP4,W63,NA,IR,6/21/2018,36.96,22.94,15.14,5.13,,,37.57,19.86,14.31,5.98,0,0,0,,,,
LP6,Y24,NA,IR,6/21/2018,33.28,20.02,13.22,4.49,,,35.72,20.2,15.16,5.97,0,0,0,30-Oct,0,,
LP7,Y17,NA,IR,6/21/2018,29.53,18.38,11.29,2.85,,,36.81,23.17,14.5,5.95,0,0,0,30-Oct,0,,
